property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,dnha group housing society,manesar,0.75,4518.0,3.0,2.0,2,5.0,Moderately Old,1502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.3333333333334
house,independent,sector 4,0.4,8889.0,1.0,1.0,0,1.0,Moderately Old,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0
flat,huda ashok vihar phase,sector 4,0.43,6615.0,2.0,2.0,1,2.0,Relatively New,722.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,325.0
flat,dlf the grove,sector 54,5.7,41245.0,3.0,3.0,3,1.0,Moderately Old,1382.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,460.6666666666667
house,independent,sector 104,0.6,5128.0,4.0,3.0,1,2.0,Moderately Old,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.5
flat,signature global the millennia 3,sector 37d,0.45,7627.0,2.0,3.0,2,8.0,Under Construction,656.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,295.0
flat,ats tourmaline,sector 109,1.75,8140.0,3.0,4.0,3+,7.0,Relatively New,1797.0,0.0,1.0,0.0,0.0,0.0,0.0,165.0,716.6666666666666
flat,shreeram apartment ii,sector 4,0.21,4667.0,1.0,1.0,1,2.0,Relatively New,500.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,450.0
flat,experion the heartsong,sector 108,0.97,9238.0,2.0,2.0,3,10.0,Relatively New,1167.0,0.0,1.0,0.0,0.0,0.0,0.0,165.0,525.0
flat,signature global city,sector 37d,0.8,8421.0,2.0,2.0,2,2.0,Under Construction,860.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,475.0
flat,eldeco accolade,sohna road,1.3,7424.0,3.0,3.0,3+,10.0,Relatively New,1509.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,583.6666666666666
flat,shree vardhman flora,sector 90,0.65,4962.0,2.0,2.0,3,11.0,Relatively New,1225.0,1.0,0.0,0.0,0.0,0.0,1.0,49.0,655.0
house,sector 15 part 2 rwa,sector 15,10.0,22222.0,5.0,5.0,2,2.0,Old Property,4518.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,900.0
flat,sare green parc phase 3,sector 92,0.7,5279.0,3.0,2.0,2,4.0,Relatively New,1325.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,442.0
flat,emaar gurgaon greens,sector 102,1.6,9697.0,3.0,3.0,3,8.0,Relatively New,1315.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,550.0
