property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
0.0,113.0,2.0,2.0,1.0,3.0,681.0,0.0,0.0,1.0,2.0,0.0,0.25
0.0,80.0,3.0,3.0,2.0,3.0,1492.0,0.0,0.0,1.0,0.0,2.0,1.5
0.0,113.0,2.0,2.0,2.0,4.0,833.0,0.0,0.0,0.0,2.0,2.0,0.54
0.0,99.0,3.0,3.0,3.0,4.0,141.0,0.0,0.0,0.0,1.0,0.0,1.8
1.0,83.0,4.0,4.0,4.0,3.0,5500.0,1.0,1.0,0.0,2.0,2.0,4.02
0.0,113.0,2.0,2.0,3.0,3.0,1404.0,0.0,0.0,0.0,0.0,2.0,0.72
0.0,6.0,3.0,4.0,4.0,3.0,1700.0,1.0,0.0,1.0,0.0,2.0,1.7
1.0,32.0,5.0,5.0,3.0,0.0,1800.0,1.0,0.0,1.0,2.0,1.0,6.25
0.0,94.0,3.0,2.0,4.0,3.0,1352.0,0.0,0.0,0.0,1.0,2.0,1.45
0.0,12.0,2.0,2.0,2.0,4.0,1250.0,0.0,0.0,0.0,2.0,2.0,2.1
1.0,20.0,3.0,3.0,1.0,0.0,1872.0,0.0,0.0,0.0,1.0,2.0,3.71
0.0,109.0,2.0,2.0,2.0,3.0,744.0,0.0,0.0,0.0,1.0,2.0,0.48
0.0,77.0,3.0,4.0,4.0,3.0,2134.0,1.0,0.0,1.0,0.0,0.0,3.4
0.0,8.0,4.0,4.0,4.0,3.0,3064.0,1.0,0.0,1.0,0.0,0.0,2.6
0.0,12.0,2.0,2.0,2.0,3.0,1505.0,0.0,0.0,0.0,1.0,0.0,0.7
0.0,62.0,3.0,4.0,4.0,0.0,2217.0,1.0,0.0,1.0,1.0,2.0,6.0
0.0,11.0,3.0,3.0,4.0,3.0,1690.0,0.0,0.0,1.0,0.0,1.0,1.29
1.0,24.0,2.0,6.0,4.0,3.0,1449.0,0.0,0.0,0.0,2.0,2.0,2.98
0.0,74.0,3.0,3.0,3.0,4.0,2153.0,0.0,0.0,0.0,1.0,2.0,3.15
0.0,61.0,4.0,3.0,3.0,0.0,2091.0,1.0,0.0,2.0,2.0,2.0,2.0
0.0,109.0,2.0,2.0,3.0,3.0,990.0,0.0,0.0,0.0,1.0,0.0,0.55
0.0,79.0,2.0,2.0,2.0,1.0,1180.0,0.0,0.0,0.0,1.0,2.0,0.84
0.0,109.0,1.0,1.0,1.0,3.0,407.0,0.0,0.0,0.0,2.0,2.0,0.2
0.0,107.0,3.0,3.0,2.0,3.0,1068.0,0.0,0.0,0.0,1.0,1.0,0.5
1.0,7.0,3.0,5.0,4.0,3.0,3534.0,0.0,0.0,0.0,1.0,2.0,2.25
0.0,94.0,3.0,4.0,4.0,3.0,1854.0,1.0,0.0,2.0,0.0,0.0,2.3
0.0,67.0,3.0,4.0,1.0,0.0,2164.0,1.0,0.0,1.0,0.0,0.0,3.8
0.0,113.0,2.0,2.0,2.0,1.0,521.0,0.0,0.0,0.0,1.0,0.0,0.35
0.0,7.0,2.0,2.0,3.0,1.0,1232.0,0.0,0.0,0.0,2.0,2.0,0.88
0.0,94.0,3.0,3.0,4.0,0.0,1438.0,0.0,1.0,1.0,2.0,2.0,1.35
0.0,113.0,2.0,2.0,2.0,4.0,995.0,0.0,0.0,0.0,1.0,0.0,0.48
0.0,29.0,2.0,2.0,2.0,1.0,1285.0,1.0,0.0,0.0,1.0,2.0,1.99
0.0,17.0,3.0,3.0,4.0,4.0,1615.0,0.0,0.0,0.0,1.0,2.0,2.35
1.0,35.0,4.0,4.0,4.0,3.0,2430.0,1.0,1.0,1.0,2.0,1.0,8.4
0.0,6.0,3.0,3.0,3.0,3.0,1653.0,0.0,0.0,0.0,0.0,1.0,1.77
1.0,27.0,5.0,6.0,4.0,2.0,2430.0,0.0,0.0,1.0,1.0,2.0,6.0
0.0,106.0,4.0,4.0,4.0,0.0,2468.0,1.0,0.0,0.0,2.0,0.0,2.0
0.0,2.0,3.0,4.0,3.0,3.0,2717.0,1.0,0.0,0.0,1.0,2.0,0.75
0.0,97.0,3.0,3.0,3.0,3.0,1387.0,1.0,0.0,1.0,0.0,0.0,1.3
0.0,80.0,4.0,4.0,2.0,3.0,1819.0,0.0,0.0,0.0,2.0,1.0,1.68
1.0,20.0,4.0,4.0,1.0,0.0,1700.0,0.0,0.0,0.0,1.0,1.0,0.7
0.0,85.0,4.0,4.0,4.0,3.0,2509.0,1.0,0.0,0.0,1.0,0.0,3.9
0.0,49.0,3.0,2.0,2.0,1.0,1500.0,0.0,0.0,1.0,1.0,1.0,1.05
1.0,59.0,4.0,4.0,2.0,0.0,4500.0,1.0,0.0,0.0,0.0,1.0,15.0
0.0,113.0,2.0,2.0,5.0,3.0,567.0,0.0,0.0,0.0,1.0,2.0,0.3
0.0,107.0,3.0,2.0,2.0,3.0,1473.0,0.0,0.0,0.0,1.0,2.0,0.8
0.0,87.0,2.0,2.0,2.0,3.0,1508.0,0.0,0.0,1.0,0.0,0.0,1.6
0.0,64.0,4.0,3.0,4.0,0.0,2000.0,0.0,0.0,2.0,1.0,2.0,1.9
0.0,75.0,3.0,3.0,3.0,3.0,1650.0,1.0,1.0,1.0,2.0,2.0,2.7
0.0,6.0,2.0,2.0,3.0,3.0,1238.0,0.0,0.0,0.0,1.0,1.0,1.41
0.0,20.0,4.0,3.0,3.0,2.0,3150.0,0.0,0.0,0.0,1.0,2.0,2.7
0.0,77.0,4.0,4.0,4.0,0.0,2127.0,1.0,0.0,1.0,2.0,2.0,2.85
0.0,105.0,2.0,2.0,3.0,1.0,1224.0,0.0,0.0,0.0,2.0,2.0,0.7
1.0,77.0,4.0,5.0,4.0,3.0,2259.0,0.0,1.0,1.0,2.0,1.0,5.46
0.0,99.0,4.0,4.0,4.0,3.0,2545.0,1.0,0.0,0.0,1.0,2.0,2.3
0.0,71.0,2.0,2.0,2.0,1.0,1278.0,0.0,0.0,0.0,2.0,2.0,1.47
0.0,46.0,3.0,3.0,3.0,3.0,1700.0,0.0,0.0,0.0,0.0,2.0,1.08
1.0,9.0,2.0,4.0,0.0,0.0,56.0,0.0,0.0,0.0,1.0,1.0,0.55
